Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos
2020-07-11,843.0,21.0,22.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,1.0,0.0,11.0
2020-07-12,719.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0
2020-07-13,1052.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-14,1193.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-07-15,1111.0,5.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
2020-07-16,938.0,22.0,21.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,8.0,2.0,2.0,3.0
2020-07-17,848.0,25.0,21.0,1.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,3.0
2020-07-18,0.0,20.0,21.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,6.0
2020-07-19,532.0,20.0,20.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,0.0,11.0,0.0,1.0,11.0
2020-07-20,2097.0,13.0,20.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
